RANK	URL	PAGESPEED	YSLOW	ONLOAD	FULLY LOADED	REQUESTS	TOTAL SIZE
361	http://www.yahooapis.com/	86%	91%	2.2s		29	211KB
362	http://www.tenpay.com/	92%	83%	13.9s		25	472KB
363	http://www.asahi.com/	16%	43%	12.1s	23.1s	360	3.81MB
364	http://www.surveymonkey.com/	77%	56%	3.4s	4.2s	95	450KB
365	http://www.21cn.com/	70%	56%	3.4s	3.4s	94	952KB
366	http://www.nba.com/	25%	40%	26.8s	45.5s	774	3.71MB
367	http://www.informer.com/	93%	74%	1.0s	1.0s	13	120KB
368	http://www.intuit.com/	65%	64%	2.1s	6.8s	135	2.34MB
369	http://www.sparkstudios.com/	91%	82%	4.8s	4.8s	29	401KB
370	http://www.letitbit.net/	100%	97%	0.9s	2.1s	11	290KB
371	http://www.plala.or.jp/	36%	48%	6.2s	6.7s	131	5.32MB
372	http://www.homedepot.com/	51%	62%	2.0s	12.4s	214	2.48MB
373	http://www.ctrip.com/	53%	68%	3.5s	8.8s	139	2.50MB
374	http://www.opera.com/	89%	72%	2.0s	2.4s	37	374KB
375	http://www.37cs.com/	82%	80%	1.3s	2.7s	41	1.34MB
376	http://www.jiji.com/	42%	44%	11.8s	13.4s	278	1.76MB
377	http://www.ucoz.ru/	82%	64%	4.8s	5.7s	64	2.67MB
378	http://www.webmd.com/	41%	44%	13.4s	29.5s	339	2.61MB
379	http://www.sonico.com/	84%	93%	2.8s	6.4s	47	786KB
380	http://www.avast.com/	71%	55%	5.0s	5.4s	93	1.53MB
381	http://www.linternaute.com/	54%	51%	8.1s	13.6s	228	4.00MB
382	http://www.letv.com/	34%	45%	13.0s	32.5s	240	7.19MB
383	http://www.ip138.com/	95%	94%	2.1s	2.1s	5	43.8KB
384	http://www.careerbuilder.com/	76%	66%	6.8s	12.0s	91	1.08MB
385	http://www.ibm.com/	54%	49%	9.4s	20.4s	163	2.71MB
386	http://www.associatedcontent.com/	50%	44%	10.7s	28.4s	337	2.24MB
387	http://www.gnavi.co.jp/	40%	51%	6.3s	7.1s	150	1.95MB
388	http://www.rincondelvago.com/	36%	50%	11.1s	16.1s	391	1.22MB
389	http://www.indiatimes.com/	77%	53%	6.9s	27.4s	307	7.95MB
390	http://www.ddmap.com/	64%	66%	31.6s		98	835KB
391	http://www.veoh.com/	16%	69%	1.4s	22.0s	552	1.47MB
392	http://www.dtiblog.com/	74%	74%	0.6s	0.6s	13	322KB
393	http://www.zylom.com/	72%	54%	4.3s	18.7s	106	1.98MB
394	http://www.monografias.com/	80%	55%	2.7s	3.5s	61	777KB
395	http://www.auction.co.kr/	57%	54%	4.4s	4.7s	147	1.78MB
396	http://www.fedex.com/	73%	76%	0.9s	2.0s	63	291KB
397	http://www.liveinternet.ru/	56%	43%	8.5s	11.6s	113	1.19MB
398	http://www.koubei.com/	76%	91%	3.6s	3.9s	19	794KB
399	http://www.leboncoin.fr/	65%	55%	4.3s	7.6s	115	605KB
